V1	V2	V3	V4
CXD-5	108	4511	0.0706051873198847
CXD-5	JJ-109	4519	0.0705908386811241
CXD-5	JJ-35	4465	0.0665173572228443
CXD-5	JJ-71	4892	0.0726696647587899
CXD-5	JJ-92	3091	0.0666450986735684
CXD-5	JJ-103	5060	0.0738142292490119
CXD-5	JJ-52	5111	0.0747407552338094
CXD-5	JJ-97	5125	0.0750243902439024
CXD-5	JJC-73	4976	0.0746583601286174
CXD-5	117	2351	0.0640153126329222
CXD-5	LCG09-2	2048	0.0576171875
CXD-5	LCG09-3	2101	0.0616373155640171
CXD-5	LCG09-4	2035	0.0577395577395577
CXD-5	LCG09-5	1969	0.0578974098527171
CXD-5	XH-13	4405	0.0727582292849035
CXD-5	XHDC-2	4597	0.0696106156188819
CXD-5	XHDC-5	2877	0.0627389641988182
CXD-5	XHDC-6	3930	0.0711195928753181
CXD-5	XHDC-7	4276	0.0680542563143124
CXD-5	FQ-10	2599	0.0584840323201231
CXD-5	FQ-14	1882	0.0634962805526036
CXD-5	FQ-26	3420	0.062280701754386
CXD-5	FQ-27	3184	0.060144472361809
CXD-5	FQ-6	3062	0.0612344872632266
CXD-5	26	4219	0.0647072766058308
CXD-5	27	4166	0.0660105616898704
CXD-5	28	4777	0.0663596399413858
CXD-5	31	4892	0.0748160261651676
CXD-5	CX-29	4600	0.0726086956521739
CXD-5	DF-5	2792	0.0603510028653295
CXD-5	DFDC-11	4841	0.0721958273084074
CXD-5	DFDC-13	4449	0.072600584400989
CXD-5	DFDC-14	4719	0.0708836617927527
CXD-5	DFDC-19	4704	0.0724914965986395
CXD-5	Q-14	4258	0.0661108501643964
CXD-5	Q-19	3950	0.0643037974683544
CXD-5	Q-20	2622	0.0627383676582761
CXD-5	Q-30	4554	0.0696091348265261
CXD-5	Q-6	4632	0.0690846286701209
CXD-5	H-22	360	0.0472222222222222
CXD-5	H-25	475	0.0652631578947368
CXD-5	H-26	364	0.0521978021978022
CXD-5	HDC-3	428	0.0619158878504673
CXD-5	HDC-4	418	0.0550239234449761
CXD-5	HM2	1040	0.158173076923077
CXD-5	HM3	1261	0.169310071371927
CXD-5	HM4	1121	0.171721677074041
CXD-5	HM5	1925	0.174025974025974
CXD-5	HM6	1940	0.175773195876289
CXD-7	CXD-9	9762	0.071860274533907
CXD-7	D10	8325	0.0657657657657658
CXD-7	D20	771	0.053177691309987
CXD-7	D22	4043	0.058372495671531
CXD-7	JJ0030	8639	0.0668480148165297
CXD-7	JJC44	8643	0.0662964248524818
CXD-7	108	8544	0.0664794007490637
CXD-7	JJ-109	8730	0.0651775486827033
CXD-7	JJ-35	8547	0.0630630630630631
CXD-7	JJ-71	9418	0.0692291356976003
CXD-7	JJ-92	5872	0.0619891008174387
CXD-7	JJ-103	9763	0.0707262112055721
CXD-7	JJ-52	9879	0.0727300334041907
CXD-7	JJ-97	9894	0.0724176268445523
CXD-7	JJC-73	9554	0.0695520200962947
CXD-7	117	4341	0.0557475236120709
CXD-7	LCG09-2	3715	0.0522207267833109
CXD-7	LCG09-3	3781	0.0584501454641629
CXD-7	LCG09-4	3689	0.0543507725670914
CXD-7	LCG09-5	3591	0.0543024227234754
CXD-7	XH-13	8453	0.0652431089554004
CXD-7	XHDC-2	8846	0.0653402667872485
CXD-7	XHDC-5	5390	0.0637291280148423
CXD-7	XHDC-6	7556	0.0645844362096347
CXD-7	XHDC-7	8244	0.0663512857836002
CXD-7	FQ-10	4854	0.0630407911001236
CXD-7	FQ-14	3463	0.060785446144961
CXD-7	FQ-26	6510	0.0599078341013825
CXD-7	FQ-27	6034	0.0556015909844216
CXD-7	FQ-6	5803	0.0610029295192142
CXD-7	26	8096	0.061326581027668
CXD-7	27	7938	0.0652557319223986
CXD-7	28	9234	0.068117825427767
CXD-7	31	9466	0.069142193112191
CXD-7	CX-29	8828	0.0655301314000906
CXD-7	DF-5	5156	0.061966640806827
CXD-7	DFDC-11	9321	0.0675356721381826
CXD-7	DFDC-13	8456	0.0654564806054872
CXD-7	DFDC-14	9121	0.066549720425392
CXD-7	DFDC-19	9003	0.0667555259357992
CXD-7	Q-14	8129	0.064153032353303
CXD-7	Q-19	7487	0.0615733938827301
CXD-7	Q-20	4919	0.0585484854645253
CXD-7	Q-30	8722	0.0632309103416648
CXD-7	Q-6	8906	0.0642825061756119
CXD-7	H-22	538	0.0464684014869888
CXD-7	H-25	731	0.0533515731874145
CXD-7	H-26	561	0.0508021390374332
CXD-7	HDC-3	636	0.0518867924528302
CXD-7	HDC-4	638	0.054858934169279
CXD-7	HM2	1928	0.158195020746888
CXD-7	HM3	2347	0.165743502343417
CXD-7	HM4	2039	0.162824914173615
CXD-7	HM5	3590	0.16949860724234
CXD-7	HM6	3641	0.167536391101346
CXD-9	D10	8212	0.0637481734047735
CXD-9	D20	765	0.0581699346405229
CXD-9	D22	3982	0.0617780010045203
CXD-9	JJ0030	8511	0.0658559511220773
CXD-9	JJC44	8516	0.0658172851103805
CXD-9	108	8425	0.0673590504451039
CXD-9	JJ-109	8614	0.0661133039238449
CXD-9	JJ-35	8437	0.0628778001659358
CXD-9	JJ-71	9282	0.0687351863822452
CXD-9	JJ-92	5801	0.059472504740562
CXD-9	JJ-103	9629	0.0710873403260982
CXD-9	JJ-52	9739	0.0713625628914673
CXD-9	JJ-97	9755	0.0697078421322399
CXD-9	JJC-73	9422	0.0703672256421142
CXD-9	117	4319	0.059967585089141
CXD-9	LCG09-2	3705	0.0519568151147098
CXD-9	LCG09-3	3765	0.0579017264276228
CXD-9	LCG09-4	3676	0.0564472252448313
CXD-9	LCG09-5	3576	0.0546700223713647
CXD-9	XH-13	8349	0.0665948017726674
CXD-9	XHDC-2	8740	0.0675629290617849
CXD-9	XHDC-5	5340	0.0664794007490637
CXD-9	XHDC-6	7478	0.0646563252206472
CXD-9	XHDC-7	8154	0.0664704439538877
CXD-9	FQ-10	4780	0.0593096234309623
CXD-9	FQ-14	3429	0.0613881598133567
CXD-9	FQ-26	6429	0.0608959402706486
CXD-9	FQ-27	5970	0.057035175879397
CXD-9	FQ-6	5727	0.0612886327920377
CXD-9	26	8015	0.0627573300062383
CXD-9	27	7840	0.0649234693877551
CXD-9	28	9110	0.0675082327113063
CXD-9	31	9343	0.0680188376324521
CXD-9	CX-29	8725	0.0648710601719198
CXD-9	DF-5	5086	0.0583955957530476
CXD-9	DFDC-11	9189	0.069213189683317
CXD-9	DFDC-13	8337	0.0665107352764784
CXD-9	DFDC-14	8999	0.0651739082120236
CXD-9	DFDC-19	8868	0.0674334686513306
