	CXD	DH	LCG07	JDS	LCG09	XH	FQ	CX	DF	Q	H	HM
CXD		0.0823414	0.0776722	0.083758	0.0842609	0.0780498	0.0810997	0.0769114	0.0772511	0.0782287	0.0843484	0.437101
DH			0.0782742	0.0835579	0.081685	0.0779155	0.0803232	0.077168	0.0778863	0.0779932	0.0821714	0.424206
LCG07				0.0792321	0.0778232	0.0747289	0.0765192	0.0741555	0.0748172	0.0746608	0.0775939	0.403112
JDS					0.0838328	0.0792401	0.082156	0.0783202	0.0789837	0.0796753	0.084857	0.416993
LCG09						0.0780075	0.0816651	0.0768622	0.0776572	0.078574	0.0845313	0.438886
XH							0.0765738	0.0734996	0.0741725	0.0748028	0.0758199	0.401194
FQ								0.0762155	0.0753989	0.0763204	0.0808311	0.424923
CX									0.0738938	0.0742379	0.0755571	0.394969
DF										0.0748073	0.0772722	0.400506
Q											0.07834	0.405601
H												0.457566
