V1	V2	V3	V4
CXD-10	CXD-3	32433	0.0565935929454568
CXD-10	CXD-5	38962	0.0571710897797854
CXD-10	CXD-7	51800	0.064469111969112
CXD-10	CXD-9	50768	0.0610522376300031
CXD-10	D10	48662	0.0570157412354609
CXD-10	D20	24259	0.0501463374417742
CXD-10	D22	40342	0.0526994199593476
CXD-10	JJ0030	49742	0.0586928551324836
CXD-10	JJC44	49894	0.059666492965086
CXD-10	108	49316	0.0587943061075513
CXD-10	JJ-109	50119	0.0572836648775913
CXD-10	JJ-35	49219	0.0569089172880392
CXD-10	JJ-71	50951	0.0609997841062982
CXD-10	JJ-92	44534	0.0559909282795168
CXD-10	JJ-103	50973	0.0603358640849077
CXD-10	JJ-52	51180	0.0613227823368503
CXD-10	JJ-97	51227	0.0602319089542624
CXD-10	JJC-73	50539	0.0604978333564178
CXD-10	117	43210	0.0535639898171719
CXD-10	LCG09-2	39936	0.0534605368589744
CXD-10	LCG09-3	41029	0.0508055277974116
CXD-10	LCG09-4	40541	0.0498261019708443
CXD-10	LCG09-5	40105	0.0529734447076424
CXD-10	XH-13	49520	0.0566134894991922
CXD-10	XHDC-2	50413	0.0601630531807272
CXD-10	XHDC-5	44137	0.0552031175657612
CXD-10	XHDC-6	47995	0.0574539014480675
CXD-10	XHDC-7	48997	0.0580035512378309
CXD-10	FQ-10	42946	0.0536720532762073
CXD-10	FQ-14	39063	0.052850523513299
CXD-10	FQ-26	47129	0.0566742345477307
CXD-10	FQ-27	45428	0.0543607466760588
CXD-10	FQ-6	45087	0.0549049615188414
CXD-10	26	48759	0.0589327098586928
CXD-10	27	48597	0.0572669094800091
CXD-10	28	50810	0.058797480810864
CXD-10	31	51232	0.0613483760149906
CXD-10	CX-29	50241	0.0593738181962939
CXD-10	DF-5	44364	0.0554503651609413
CXD-10	DFDC-11	50831	0.0598552064684936
CXD-10	DFDC-13	49572	0.0585511982570806
CXD-10	DFDC-14	50500	0.0595940594059406
CXD-10	DFDC-19	50315	0.0599324257179767
CXD-10	Q-14	48985	0.0584158415841584
CXD-10	Q-19	48123	0.0560231074538163
CXD-10	Q-20	43367	0.0548227915235087
CXD-10	Q-30	50173	0.0592749088154984
CXD-10	Q-6	50238	0.0602034316652733
CXD-10	H-22	27009	0.0481506164611796
CXD-10	H-25	30319	0.048995679277021
CXD-10	H-26	27115	0.0476489028213166
CXD-10	HDC-3	29337	0.0482326072877254
CXD-10	HDC-4	28721	0.0485185056230633
CXD-10	HM2	26485	0.170228431187465
CXD-10	HM3	27816	0.17439603106126
CXD-10	HM4	26799	0.174390835478936
CXD-10	HM5	32270	0.178974279516579
CXD-10	HM6	32549	0.179222095916925
CXD-3	CXD-5	32845	0.0579388034708479
CXD-3	CXD-7	43288	0.0629504712622436
CXD-3	CXD-9	42331	0.0607001960737993
CXD-3	D10	40855	0.0554766858401664
CXD-3	D20	20893	0.0517876800842387
CXD-3	D22	34179	0.0523567102606864
CXD-3	JJ0030	41775	0.0594973070017953
CXD-3	JJC44	41844	0.0591721632731096
CXD-3	108	41455	0.0585936557713183
CXD-3	JJ-109	42004	0.0580658984858585
CXD-3	JJ-35	41001	0.0568522718958074
CXD-3	JJ-71	42751	0.0617295501859606
CXD-3	JJ-92	36887	0.0550464933445387
CXD-3	JJ-103	42715	0.0603183893245932
CXD-3	JJ-52	42868	0.0607796025006998
CXD-3	JJ-97	42902	0.0609062514568085
CXD-3	JJC-73	42392	0.0598697867522174
CXD-3	117	36211	0.0532296815884676
CXD-3	LCG09-2	33047	0.0513813659333676
CXD-3	LCG09-3	33971	0.0495569750669689
CXD-3	LCG09-4	33824	0.0495949621570482
CXD-3	LCG09-5	33253	0.0530779177818543
CXD-3	XH-13	41451	0.0570673807628284
CXD-3	XHDC-2	42124	0.059336720159529
CXD-3	XHDC-5	36369	0.0548681569468503
CXD-3	XHDC-6	40042	0.0560411567853754
CXD-3	XHDC-7	40824	0.0567803252988438
CXD-3	FQ-10	35718	0.0528585027157176
CXD-3	FQ-14	32422	0.0545462957251249
CXD-3	FQ-26	39060	0.0561059907834101
CXD-3	FQ-27	37585	0.0552747106558467
CXD-3	FQ-6	37440	0.0536992521367521
CXD-3	26	40573	0.0566386513198432
CXD-3	27	40437	0.0560625170017558
CXD-3	28	42404	0.0580251863031789
CXD-3	31	42817	0.0614592334820282
