V1	V2	V3	V4
CXD-10	CXD-3	7533	0.0546926855170583
CXD-10	CXD-5	11388	0.0551018616087109
CXD-10	CXD-7	21736	0.0657894736842105
CXD-10	CXD-9	21177	0.0625914907682864
CXD-10	D10	19694	0.0584441962018889
CXD-10	D20	4200	0.0498809523809524
CXD-10	D22	12542	0.0561712645511083
CXD-10	JJ0030	20390	0.0589014222658166
CXD-10	JJC44	20441	0.0610048432072795
CXD-10	108	20127	0.0597704575942763
CXD-10	JJ-109	20536	0.0590183093104792
CXD-10	JJ-35	20038	0.0585138237349037
CXD-10	JJ-71	21418	0.0622607152862079
CXD-10	JJ-92	16188	0.0582839140103781
CXD-10	JJ-103	21691	0.0627910193167673
CXD-10	JJ-52	21812	0.0644370071520264
CXD-10	JJ-97	21822	0.0619787370543488
CXD-10	JJC-73	21320	0.063250469043152
CXD-10	117	14162	0.0537353481146731
CXD-10	LCG09-2	12545	0.050617776006377
CXD-10	LCG09-3	12828	0.051333021515435
CXD-10	LCG09-4	12595	0.0505756252481143
CXD-10	LCG09-5	12445	0.0550020088388911
CXD-10	XH-13	20119	0.056439186838312
CXD-10	XHDC-2	20787	0.0626112474142493
CXD-10	XHDC-5	15686	0.0571209996174933
CXD-10	XHDC-6	18912	0.0593538494077834
CXD-10	XHDC-7	19778	0.0592324805339266
CXD-10	FQ-10	14590	0.05407813570939
CXD-10	FQ-14	11727	0.052698899974418
CXD-10	FQ-26	17806	0.0578737504212063
CXD-10	FQ-27	16763	0.0543458808089244
CXD-10	FQ-6	16349	0.0545904948314882
CXD-10	26	19625	0.0594394904458599
CXD-10	27	19425	0.0576061776061776
CXD-10	28	21171	0.0595626092296065
CXD-10	31	21517	0.0635079239670958
CXD-10	CX-29	20659	0.0605789244397115
CXD-10	DF-5	15438	0.0565487757481539
CXD-10	DFDC-11	21256	0.0624529544599172
CXD-10	DFDC-13	20112	0.0597404534606205
CXD-10	DFDC-14	20971	0.0597968623336989
CXD-10	DFDC-19	20807	0.0614937280722834
CXD-10	Q-14	19668	0.0592586943258084
CXD-10	Q-19	18827	0.056833271365592
CXD-10	Q-20	14847	0.0542533845221257
CXD-10	Q-30	20553	0.0605750985257627
CXD-10	Q-6	20793	0.0625931803972491
CXD-10	H-22	4029	0.0517498138495905
CXD-10	H-25	5088	0.0506092767295597
CXD-10	H-26	4225	0.0489940828402367
CXD-10	HDC-3	4717	0.0504557981768073
CXD-10	HDC-4	4671	0.0498822521943909
CXD-10	HM2	7499	0.161088145086011
CXD-10	HM3	8389	0.165275956609846
CXD-10	HM4	7939	0.164252424738632
CXD-10	HM5	11485	0.17191989551589
CXD-10	HM6	11656	0.170770418668497
CXD-3	CXD-5	7311	0.0589522637122145
CXD-3	CXD-7	13678	0.0632767948530487
CXD-3	CXD-9	13167	0.0622769043821675
CXD-3	D10	12506	0.0562130177514793
CXD-3	D20	2862	0.0508385744234801
CXD-3	D22	8232	0.05466472303207
CXD-3	JJ0030	12907	0.0609746649105137
CXD-3	JJC44	12914	0.059702648288679
CXD-3	108	12775	0.0584344422700587
CXD-3	JJ-109	12924	0.0580315691736305
CXD-3	JJ-35	12432	0.0589205276705277
CXD-3	JJ-71	13448	0.0608268887566924
CXD-3	JJ-92	9861	0.054659770814319
CXD-3	JJ-103	13618	0.0619400793067998
CXD-3	JJ-52	13694	0.0623265663794362
CXD-3	JJ-97	13725	0.062367941712204
CXD-3	JJC-73	13445	0.0606173298624024
CXD-3	117	8784	0.0514571948998178
CXD-3	LCG09-2	7677	0.0504754461378143
CXD-3	LCG09-3	7902	0.0488483928119463
CXD-3	LCG09-4	7804	0.049397744746284
CXD-3	LCG09-5	7625	0.0509508196721312
CXD-3	XH-13	12551	0.0556130985578838
CXD-3	XHDC-2	12962	0.0596358586637864
CXD-3	XHDC-5	9573	0.0564608795570876
CXD-3	XHDC-6	11641	0.0575122412163903
CXD-3	XHDC-7	12257	0.0583748062331729
CXD-3	FQ-10	9029	0.0546018385203234
CXD-3	FQ-14	7208	0.052857935627081
CXD-3	FQ-26	10851	0.0540963966454705
CXD-3	FQ-27	10194	0.0546890327643712
CXD-3	FQ-6	10026	0.0522142429682825
CXD-3	26	12133	0.059012610236545
CXD-3	27	12020	0.0572379367720466
CXD-3	28	13264	0.058127261761158
CXD-3	31	13481	0.0588606186484682
CXD-3	CX-29	12943	0.0593757243297535
CXD-3	DF-5	9670	0.0530506721820062
CXD-3	DFDC-11	13345	0.0599475458973398
CXD-3	DFDC-13	12694	0.0588860879155507
CXD-3	DFDC-14	13119	0.0575882308102752
CXD-3	DFDC-19	13082	0.0602736584620089
CXD-3	Q-14	12241	0.0589821093047954
CXD-3	Q-19	11763	0.0577233698886339
CXD-3	Q-20	9242	0.0523696169660247
CXD-3	Q-30	12884	0.0591431232536479
CXD-3	Q-6	12991	0.0599261026864753
CXD-3	H-22	2599	0.0446325509811466
CXD-3	H-25	3310	0.0478851963746224
CXD-3	H-26	2638	0.0492797573919636
CXD-3	HDC-3	3033	0.0466534784042202
CXD-3	HDC-4	2984	0.0452412868632708
CXD-3	HM2	4630	0.1585313174946
CXD-3	HM3	5086	0.167223751474636
CXD-3	HM4	4754	0.162284392090871
CXD-3	HM5	7023	0.17357254734444
CXD-3	HM6	7112	0.173298650168729
CXD-5	CXD-7	20981	0.0638434774319623
CXD-5	CXD-9	20360	0.0616404715127701
CXD-5	D10	19170	0.0583724569640063
CXD-5	D20	4274	0.0492512868507253
CXD-5	D22	12411	0.0528563371202965
CXD-5	JJ0030	19793	0.0615874298994594
CXD-5	JJC44	19848	0.0605350665054414
CXD-5	108	19582	0.0590082729036871
CXD-5	JJ-109	19806	0.0602847621932748
CXD-5	JJ-35	19079	0.0575763928927093
CXD-5	JJ-71	20677	0.0628234269961793
CXD-5	JJ-92	15145	0.0542753383955101
CXD-5	JJ-103	20987	0.0623004717205889
CXD-5	JJ-52	21124	0.0628195417534558
CXD-5	JJ-97	21120	0.0632575757575758
CXD-5	JJC-73	20667	0.0604345091208206
CXD-5	117	13309	0.0538733188068225
CXD-5	LCG09-2	11437	0.0501005508437527
CXD-5	LCG09-3	11805	0.0503176620076239
CXD-5	LCG09-4	11628	0.0497936016511868
CXD-5	LCG09-5	11476	0.051411641686999
CXD-5	XH-13	19367	0.0596891619765581
CXD-5	XHDC-2	19975	0.061476846057572
CXD-5	XHDC-5	14683	0.0568344343798951
CXD-5	XHDC-6	17909	0.0601931989502485
CXD-5	XHDC-7	18835	0.0606848951420228
CXD-5	FQ-10	13551	0.0524315548667995
CXD-5	FQ-14	10835	0.0536225196123673
CXD-5	FQ-26	16652	0.0570201777564257
CXD-5	FQ-27	15552	0.05590920781893
CXD-5	FQ-6	15285	0.0557409224730128
CXD-5	26	18646	0.0597447173656548
CXD-5	27	18532	0.0555795380962659
CXD-5	28	20301	0.0595044579084774
CXD-5	31	20682	0.063726912290881
CXD-5	CX-29	19886	0.0607713969626873
CXD-5	DF-5	14621	0.0541686615142603
CXD-5	DFDC-11	20546	0.0620558746227976
CXD-5	DFDC-13	19441	0.0605935908646675
CXD-5	DFDC-14	20188	0.0603328710124827
CXD-5	DFDC-19	20119	0.0618818032705403
CXD-5	Q-14	18818	0.0592783505154639
CXD-5	Q-19	18067	0.0573974649914208
CXD-5	Q-20	13947	0.0536674553667455
CXD-5	Q-30	19802	0.0611301888698111
CXD-5	Q-6	19989	0.0620341187653209
CXD-5	H-22	3718	0.0473372781065089
CXD-5	H-25	4658	0.0523829969944182
CXD-5	H-26	3772	0.0462619300106045
CXD-5	HDC-3	4401	0.0482844807998182
CXD-5	HDC-4	4255	0.0477085781433608
CXD-5	HM2	6994	0.165070060051473
CXD-5	HM3	7917	0.173866363521536
CXD-5	HM4	7316	0.167987971569163
CXD-5	HM5	10820	0.180083179297597
CXD-5	HM6	10991	0.17769083795833
